sample_id,sample_date,stream_ion,ion_conc
Q1,1987-10-05,K,0.76
Q1,1987-10-05,Mg,0.62
Q1,1987-10-05,Ca,1.18
Q1,1987-10-05,NH4-N,61
Q1,1987-10-05,NO3-N,263
Q1,1987-10-06,K,0.77
Q1,1987-10-06,Mg,3.03
Q1,1987-10-06,Ca,4.48
Q1,1987-10-06,NH4-N,12
Q1,1987-10-13,K,0.77
Q1,1987-10-13,Mg,2.83
Q1,1987-10-13,Ca,4.55
Q1,1987-10-13,NH4-N,15
Q1,1987-10-13,NO3-N,144
Q1,1987-10-22,K,0.71
Q1,1987-10-22,Mg,2.71
Q1,1987-10-22,Ca,4.7
Q1,1987-10-22,NH4-N,10
Q1,1987-10-22,NO3-N,136
Q1,1987-10-29,K,0.74
Q1,1987-10-29,Mg,2.91
Q1,1987-10-29,Ca,4.71
Q1,1987-10-29,NH4-N,9
Q1,1987-10-29,NO3-N,136
Q1,1987-11-05,K,0.77
Q1,1987-11-05,Mg,2.56
Q1,1987-11-05,Ca,4.29
Q1,1987-11-05,NH4-N,33
Q1,1987-11-05,NO3-N,165
Q1,1987-11-12,K,0.7
Q1,1987-11-12,Mg,2.9
Q1,1987-11-12,Ca,3.95
Q1,1987-11-12,NO3-N,133
Q1,1987-11-24,K,0.8
Q1,1987-11-24,Mg,1.77
Q1,1987-11-24,Ca,2.89
Q1,1987-11-24,NH4-N,21
Q1,1987-11-24,NO3-N,182
Q1,1987-11-25,K,0.75
Q1,1987-11-25,Mg,1.68
Q1,1987-11-25,Ca,2.8
Q1,1987-11-25,NH4-N,14
Q1,1987-11-25,NO3-N,168
Q1,1987-12-01,K,0.73
Q1,1987-12-01,Mg,2.11
Q1,1987-12-01,Ca,3.3
Q1,1987-12-01,NO3-N,210
Q1,1987-12-07,K,0.63
Q1,1987-12-07,Mg,0.99
Q1,1987-12-07,Ca,1.59
Q1,1987-12-07,NH4-N,16
Q1,1987-12-07,NO3-N,200
Q1,1987-12-08,K,0.63
Q1,1987-12-08,Mg,1.28
Q1,1987-12-08,Ca,2.34
Q1,1987-12-08,NH4-N,13
Q1,1987-12-08,NO3-N,159
Q1,1987-12-15,K,0.77
Q1,1987-12-15,Mg,2.24
Q1,1987-12-15,Ca,3.66
Q1,1987-12-15,NH4-N,22
Q1,1987-12-15,NO3-N,182
Q1,1987-12-22,K,0.78
Q1,1987-12-22,Mg,2.39
Q1,1987-12-22,Ca,3.68
Q1,1987-12-22,NH4-N,14
Q1,1987-12-22,NO3-N,163
Q1,1987-12-29,K,0.76
Q1,1987-12-29,Mg,2.63
Q1,1987-12-29,Ca,4.11
Q1,1987-12-29,NH4-N,18
Q1,1987-12-29,NO3-N,163
Q1,1988-01-05,K,0.76
Q1,1988-01-05,Mg,2.66
Q1,1988-01-05,Ca,4.06
Q1,1988-01-05,NH4-N,19
Q1,1988-01-05,NO3-N,132
Q1,1988-01-12,K,0.77
Q1,1988-01-12,Mg,2.61
Q1,1988-01-12,Ca,4.08
Q1,1988-01-12,NH4-N,18
Q1,1988-01-12,NO3-N,134
Q1,1988-01-19,K,0.75
Q1,1988-01-19,Mg,2.67
Q1,1988-01-19,Ca,4.16
Q1,1988-01-19,NH4-N,21
Q1,1988-01-19,NO3-N,125
Q1,1988-01-26,K,0.74
Q1,1988-01-26,Mg,2.85
Q1,1988-01-26,Ca,4.41
Q1,1988-01-26,NH4-N,14
Q1,1988-01-26,NO3-N,123
Q1,1988-01-29,K,0.86
Q1,1988-01-29,Mg,1.48
Q1,1988-01-29,Ca,2.4
Q1,1988-01-29,NH4-N,21
