sample_id,sample_date,stream_ion,ion_conc
MPR,1990-07-10,NO3-N,153
MPR,1990-07-17,K,0.86
MPR,1990-07-17,Mg,2.16
MPR,1990-07-17,Ca,9.08
MPR,1990-07-17,NO3-N,10
MPR,1990-07-24,K,0.98
MPR,1990-07-24,Mg,1.13
MPR,1990-07-24,Ca,4.31
MPR,1990-07-24,NO3-N,328
MPR,1990-07-31,K,0.85
MPR,1990-07-31,Mg,2.42
MPR,1990-07-31,Ca,10.87
MPR,1990-07-31,NO3-N,115
MPR,1990-08-07,K,0.89
MPR,1990-08-07,Mg,2.76
MPR,1990-08-07,Ca,11.45
MPR,1990-08-07,NO3-N,101
MPR,1990-08-14,K,0.83
MPR,1990-08-14,Mg,1.15
MPR,1990-08-14,Ca,6.78
MPR,1990-08-14,NO3-N,339
MPR,1990-08-21,K,0.85
MPR,1990-08-21,Mg,2.35
MPR,1990-08-21,Ca,10.15
MPR,1990-08-21,NO3-N,127
MPR,1990-08-28,K,0.85
MPR,1990-08-28,Mg,2.17
MPR,1990-08-28,Ca,10.11
MPR,1990-08-28,NO3-N,85
MPR,1990-09-04,K,0.85
MPR,1990-09-04,Mg,2.12
MPR,1990-09-04,Ca,9.01
MPR,1990-09-04,NO3-N,112
MPR,1990-09-11,K,0.86
MPR,1990-09-11,Mg,2.23
MPR,1990-09-11,Ca,10.02
MPR,1990-09-11,NO3-N,67
MPR,1990-09-18,K,0.83
MPR,1990-09-18,Mg,1.78
MPR,1990-09-18,Ca,8.39
MPR,1990-09-18,NO3-N,129
MPR,1990-09-25,K,0.86
MPR,1990-09-25,Mg,2.3
MPR,1990-09-25,Ca,9.94
MPR,1990-09-25,NO3-N,112
MPR,1990-10-02,K,0.76
MPR,1990-10-02,Mg,2.09
MPR,1990-10-02,Ca,8.94
MPR,1990-10-02,NO3-N,88
MPR,1990-10-09,K,0.87
MPR,1990-10-09,Mg,1.95
MPR,1990-10-09,Ca,8.3
MPR,1990-10-09,NO3-N,119
MPR,1990-10-16,K,0.78
MPR,1990-10-16,Mg,2.17
MPR,1990-10-16,Ca,8.05
MPR,1990-10-16,NO3-N,138
MPR,1990-10-23,K,0.78
MPR,1990-10-23,Mg,1.95
MPR,1990-10-23,Ca,8
MPR,1990-10-23,NO3-N,170
MPR,1990-10-30,K,0.71
MPR,1990-10-30,Mg,1.36
MPR,1990-10-30,Ca,4.39
MPR,1990-10-30,NO3-N,133
MPR,1990-11-06,K,0.76
MPR,1990-11-06,Mg,1.81
MPR,1990-11-06,Ca,6.96
MPR,1990-11-06,NO3-N,7
MPR,1990-11-13,K,0.77
MPR,1990-11-13,Mg,2.36
MPR,1990-11-13,Ca,8.43
MPR,1990-11-20,K,0.78
MPR,1990-11-20,Mg,2.33
MPR,1990-11-20,Ca,9.45
MPR,1990-11-20,NO3-N,171
MPR,1990-11-27,K,0.72
MPR,1990-11-27,Mg,1.87
MPR,1990-11-27,Ca,8.49
MPR,1990-11-27,NO3-N,183
MPR,1990-12-04,K,0.7
MPR,1990-12-04,Mg,0.36
MPR,1990-12-04,Ca,0.21
MPR,1990-12-04,NO3-N,216
MPR,1990-12-11,K,0.62
MPR,1990-12-11,Mg,2.26
MPR,1990-12-11,Ca,9.73
MPR,1990-12-11,NO3-N,89
MPR,1990-12-18,K,0.56
MPR,1990-12-18,Mg,2.14
MPR,1990-12-18,Ca,9.49
MPR,1990-12-18,NO3-N,165
MPR,1990-12-25,K,0.75
MPR,1990-12-25,Mg,3.36
MPR,1990-12-25,Ca,10.45
MPR,1990-12-25,NO3-N,110
MPR,1990-12-31,K,0.88
MPR,1990-12-31,Mg,1.18
MPR,1990-12-31,Ca,4.72
MPR,1990-12-31,NO3-N,158
MPR,1991-01-08,K,0.77
MPR,1991-01-08,Mg,1.96
MPR,1991-01-08,Ca,9.05
MPR,1991-01-08,NO3-N,127
MPR,1991-01-15,K,0.59
MPR,1991-01-15,Mg,2.09
MPR,1991-01-15,Ca,8.5
MPR,1991-01-22,K,0.35
MPR,1991-01-22,Mg,3.34
MPR,1991-01-22,Ca,5.02
MPR,1991-01-22,NO3-N,123
MPR,1991-01-29,K,0.66
MPR,1991-01-29,Mg,2.34
MPR,1991-01-29,Ca,5.24
MPR,1991-01-29,NO3-N,106
MPR,1991-02-05,K,0.66
MPR,1991-02-05,Mg,1.58
MPR,1991-02-05,Ca,6.49
MPR,1991-02-05,NO3-N,234
MPR,1991-02-12,K,0.74
MPR,1991-02-12,Mg,2.31
MPR,1991-02-12,Ca,9.52
MPR,1991-02-12,NO3-N,63
MPR,1991-02-19,K,0.62
MPR,1991-02-19,Mg,1.36
MPR,1991-02-19,Ca,5.63
MPR,1991-02-19,NO3-N,219
MPR,1991-02-26,K,0.65
MPR,1991-02-26,Mg,2.05
MPR,1991-02-26,Ca,7.68
MPR,1991-02-26,NO3-N,32
MPR,1991-03-05,K,0.6
MPR,1991-03-05,Mg,2.09
MPR,1991-03-05,Ca,8.65
MPR,1991-03-12,K,2.7
MPR,1991-03-12,Mg,2.18
MPR,1991-03-12,Ca,9.9
MPR,1991-03-12,NO3-N,114
MPR,1991-03-19,K,0.76
MPR,1991-03-19,Mg,1.62
MPR,1991-03-19,Ca,6.9
MPR,1991-03-19,NO3-N,164
MPR,1991-03-26,K,0.63
MPR,1991-03-26,Mg,2.14
MPR,1991-03-26,NO3-N,133
MPR,1991-04-02,K,0.67
MPR,1991-04-02,Mg,2.23
MPR,1991-04-02,Ca,4.58
MPR,1991-04-02,NO3-N,14
MPR,1991-04-15,K,0.75
MPR,1991-04-15,Mg,1.13
MPR,1991-04-15,Ca,4.31
MPR,1991-04-15,NO3-N,29
MPR,1991-04-23,K,0.85
MPR,1991-04-23,Mg,1.33
MPR,1991-04-23,Ca,4
MPR,1991-04-23,NO3-N,70
MPR,1991-04-30,K,0.83
MPR,1991-04-30,Mg,1.13
MPR,1991-04-30,Ca,4.31
MPR,1991-04-30,NO3-N,55
MPR,1991-05-07,K,0.66
MPR,1991-05-07,Mg,0.84
MPR,1991-05-07,Ca,5.02
MPR,1991-05-07,NO3-N,32
MPR,1991-05-14,K,0.73
MPR,1991-05-14,Mg,0.84
MPR,1991-05-14,Ca,5.09
MPR,1991-05-14,NO3-N,75
MPR,1991-05-21,K,0.73
MPR,1991-05-21,NO3-N,45
MPR,1991-05-28,Mg,0.36
MPR,1991-05-28,NO3-N,10
MPR,1991-06-04,K,0.84
MPR,1991-06-04,Mg,0.87
MPR,1991-06-04,Ca,5.08
